Label,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_old/checkpoint-15486,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128/checkpoint-15486
Award,0.803030303030303,0.7561837455830389
Event,0.585858585858586,0.5813953488372093
Country,0.5911949685534591,0.74
Magazine,0.33802816901408456,0.2727272727272727
crossner.crossner_natural_science.entities
Organization,0.6539027982326953,0.7120115774240231
AstronomicalObject,0.7857142857142857,0.7541984732824428
Other,0.026415094339622646,0.0
ChemicalCompound,0.6742857142857144,0.6975308641975309
Protein,0.5194805194805194,0.3013698630136986
Person,0.44219977553310896,0.4634920634920634
University,0.4782608695652174,0.32704402515723274
Scientist,0.06570841889117043,0.025157232704402517
Enzyme,0.6380368098159509,0.4972972972972973
Award,0.7941176470588235,0.7902097902097903
Event,0.4848484848484849,0.5964912280701755
ChemicalElement,0.6589595375722542,0.7177033492822966
Location,0.7418397626112759,0.7113702623906706
Country,0.6521739130434783,0.6461538461538462
AcademicJournal,0.7043189368770765,0.8629737609329446
Discipline,0.3232323232323232,0.4545454545454545
Theory,0.4444444444444445,0.4444444444444445
